,Alexandre’s Bar,Amarelim do Prado,Andrade’s Beer,Arcos Bar,Armazém Santa Amélia,Avalanche Espeteria,Azougue Fogo e Bar,Baiuca,Bar Bambú,Bar Bendita Baderna,Bar da Cíntia,Bar da Fia,Bar da Lu,Bar da Silvânia,Bar do Bartolomeu,Bar do Bem,Bar do Kim,Bar do Nelson,Bar do Primo,Bar do Regis,Bar do Romeu,Bar dos Meninos,Bar Du Du,Bar e Restaurante Bom Sabor,Bar e Restaurante do Joãozinho,Bar Estabelecimento,Bar Junto Juntinho,Bar Mania Mineira,Bar Pompéu,Bar Stella,Bar Temático Sta. Teresa,Barrigudinha Buteco,Barzim dos amigos,Bazin Bar,Beco Restaurante,Benjamin Bar,Boteco 86,Botequim Buritis,Botequim de Lourdes,Buteco do Lili,Buteco do Rod,Buteco Tô D’Boa,Buteco’s Bar,Butiquim On Cê Tá?,Café Bahia,Café Palhares,Camisola Bar,Canela Amarela,Cantina Arte Quintal,Cantinho da Baiana,Casa da Madrinha,Cervejaria Pajé,Chapa Mágica,Choperia América Norte Sul,Chopp da Esquina,Companhia do Dino,Conectados Bar,COSMOS,Deck Boi na Brasa,Dona Dora,Dona Ju Gastro Bar,Dona Suica,Ember BBQ,Espetinho do Boi,Espetinhos do Paulão,Espettinho.com,Fogão de Minas,Garagge Vintage,Geraldin da Cida,Golden Grill,Iracema Bar,Ivo Grill,Já To Inno,Juzé Bar,Köbes Emporium Bar,Koqueiros Bar,Lá Ele Bar,Leo da Quadra,Locomotiva’s Bar,Magnífico Quintal,Magrelo’s Bar,Mamute Bar,Marina’s Bar,Mineiros Beer,Mulão,Nosso Spetim,O Fino do Alho,Oratório Bar,Parada 10.95 Bar,Parada do Sabor,Pé de Cana,Pé de Goiaba,Planeta Lúpulo,PoiZé Bar e Petisqueira,Prado Beer,Prosa Boa,Quinteiro Bar e Restaurante,Quioxque Botequim Carioca,Quitandas da Tia Nice Bar,Rancho do Manoel,Recanto Vovó Tela,Regis Bar,Rei do Peixe,Resenha da Naty,Restaurante Jorge Americano,S.O.S PUB,Santa Boemia,Santuário Retrô,Seu Braz,Silvio’s Bar,Sinhá Erozitha Bistrôteco,Sô Bar,Spetim,Tanganica Art Bar,The Butcher,Toca do Ogro,Toninho – Alto Forno,Tropeiro do Lisboa,Us Motoca,Xambar,Xico da Kafua,Xico do Churrasco,Zé Bolacha,Zoo Bar
Bar do Bartolomeu,81.55,51.22,58.2,73.81,86.13,90.46,68.64,69.48,52.59,97.24,95.42,92.23,96.58,35.65,0.0,47.98,28.8,94.8,36.61,31.25,89.73,51.37,73.48,39.53,14.87,71.64,54.02,55.44,94.78,87.46,61.59,54.55,32.85,76.53,86.05,53.94,48.18,36.39,59.19,76.71,62.11,95.11,92.85,91.57,65.37,65.37,74.08,45.82,63.24,93.08,56.75,39.19,93.51,37.26,34.96,91.71,54.02,90.12,77.76,65.37,116.16,91.8,71.64,14.87,62.75,35.55,79.1,78.98,40.48,5.25,61.59,64.58,53.94,92.85,71.67,74.14,77.15,13.28,94.8,86.85,62.89,75.05,57.39,73.96,56.84,92.61,92.61,77.43,54.55,78.98,71.01,36.61,86.85,71.01,54.02,78.98,72.83,18.4,74.14,94.78,107.7,57.39,91.8,63.24,58.16,39.19,73.27,57.39,90.0,73.48,74.14,73.96,94.26,43.88,43.88,94.8,58.16,96.21,33.81,58.16,47.98,73.96,76.82,79.55
Bar do Bem,44.75,32.72,37.97,47.03,49.33,53.66,66.45,67.29,15.7,60.44,58.62,55.43,59.78,15.43,47.98,0.0,13.64,69.78,10.69,10.89,64.71,26.35,41.98,14.52,24.86,65.85,22.52,29.78,69.77,62.44,30.09,29.53,9.46,51.51,35.3,28.92,23.17,31.52,34.73,51.7,37.09,70.1,67.84,66.56,33.87,33.87,42.58,27.85,38.22,68.06,30.67,16.65,68.49,17.61,9.05,66.69,22.52,51.54,52.75,33.87,91.14,66.79,65.85,24.86,31.25,30.67,54.09,53.97,26.54,36.02,30.09,33.09,28.92,67.84,40.17,42.64,52.13,29.17,69.78,61.83,39.02,38.73,31.4,47.29,31.83,67.59,67.59,38.27,29.53,53.97,37.75,10.69,61.83,37.75,22.52,53.97,41.33,23.48,42.64,69.77,82.68,31.4,66.79,38.22,32.09,16.65,41.77,31.4,64.98,41.98,42.64,47.29,45.76,15.46,15.46,69.78,32.09,71.19,11.65,32.09,0.0,47.29,51.8,54.53
Bar do Kim,55.3,29.39,36.36,60.75,59.88,64.21,55.58,56.42,26.34,70.99,69.17,65.98,70.33,15.26,28.8,13.64,0.0,72.26,7.86,8.71,67.19,28.83,50.9,16.99,17.19,58.17,31.45,32.86,72.24,64.92,39.02,32.01,6.63,53.99,38.81,31.4,25.64,21.99,36.62,54.17,39.56,72.57,70.31,69.03,42.79,42.79,51.51,23.24,40.7,70.54,34.18,18.41,70.97,16.48,6.22,69.16,31.45,67.58,55.22,42.79,93.62,69.26,58.17,17.19,40.18,21.14,56.56,56.44,17.91,28.35,39.02,42.01,31.4,70.31,49.09,51.56,54.61,21.5,72.26,64.31,40.35,61.59,34.82,51.42,34.3,70.07,70.07,40.93,32.01,56.44,57.55,7.86,64.31,57.55,31.45,56.44,50.26,15.81,51.56,72.24,85.16,34.82,69.26,40.7,35.59,18.41,50.7,34.82,67.45,50.9,51.56,51.42,71.72,21.33,21.33,72.26,35.59,73.67,13.03,35.59,25.44,51.42,54.28,57.01
Bar do Nelson,31.86,33.33,26.97,25.18,62.13,50.15,34.68,35.38,65.81,14.55,44.01,51.92,42.88,75.64,94.8,69.78,72.26,0.0,63.63,63.83,32.78,60.11,21.28,50.27,77.8,37.54,35.37,31.93,28.21,32.7,27.57,55.75,62.39,27.78,26.68,48.03,48.52,65.92,32.38,27.96,48.29,48.4,46.14,44.86,25.18,25.18,18.58,44.59,49.42,1.58,30.39,70.56,31.26,71.52,61.98,25.14,35.37,4.18,52.13,25.18,35.9,41.63,37.54,77.8,26.96,65.07,29.03,32.49,43.28,88.96,27.57,24.4,48.03,46.14,17.02,16.8,30.43,82.11,0.0,57.58,59.5,30.5,30.2,55.37,48.7,45.89,45.89,33.15,55.75,32.49,35.52,63.63,57.58,35.52,35.37,32.49,18.77,76.42,16.8,28.21,41.13,30.2,41.63,49.42,30.89,70.56,20.03,30.2,43.28,21.28,16.8,55.37,13.17,45.64,45.64,0.0,30.89,39.15,65.56,30.89,56.03,55.37,36.11,53.91
Bar do Primo,52.35,21.81,28.79,33.89,56.93,61.25,55.07,55.91,23.39,51.17,66.22,63.03,67.38,16.51,36.61,10.69,7.86,63.63,0.0,10.96,53.97,15.64,40.66,3.82,34.11,39.5,21.2,28.49,59.03,51.71,28.77,18.82,9.57,40.78,50.3,13.56,12.45,40.76,33.41,40.96,26.35,59.36,57.1,55.82,32.55,32.55,41.26,26.53,27.48,57.33,29.35,24.28,57.76,25.24,8.74,55.95,21.2,54.37,42.01,32.55,80.41,56.05,39.5,34.11,29.93,39.92,43.35,43.23,25.22,45.27,28.77,31.76,13.56,57.1,38.85,41.31,41.4,38.42,59.05,51.1,27.16,37.41,30.08,46.39,21.07,56.85,56.85,36.95,18.82,43.23,36.46,0.0,51.1,36.46,21.2,43.23,40.01,32.73,41.31,59.03,71.95,30.08,56.05,27.48,30.77,24.28,40.45,30.08,54.24,40.66,41.31,46.39,58.51,8.15,8.15,59.05,30.77,60.46,19.28,30.77,12.25,46.39,41.07,43.79
Bar do Regis,52.55,22.09,29.07,54.89,57.13,61.45,49.72,50.56,23.59,51.45,66.42,63.23,67.58,16.71,31.25,10.89,8.71,63.83,10.96,0.0,59.04,20.68,50.41,8.85,19.28,60.27,26.23,25.89,64.1,56.78,33.8,23.87,2.03,45.84,55.37,23.26,17.5,25.94,29.64,46.03,31.42,64.43,62.17,60.89,43.49,43.49,51.0,25.04,32.55,62.39,27.2,21.12,62.82,19.19,4.28,61.02,26.23,59.44,47.08,43.49,85.47,61.12,60.27,19.28,34.96,25.09,48.42,48.3,21.09,30.44,33.8,42.7,23.26,62.17,48.59,51.06,46.46,23.59,64.11,56.16,32.2,34.42,27.85,43.28,26.16,61.92,61.92,33.95,23.87,48.3,33.86,5.92,56.16,33.86,26.23,48.3,49.76,17.9,51.06,64.1,77.01,27.85,61.12,32.55,28.62,21.12,50.2,27.85,59.31,50.41,51.06,43.28,63.58,13.19,13.19,64.11,28.62,65.52,15.74,28.62,17.29,43.28,46.14,48.86
Bar do Romeu,11.37,46.95,40.6,43.53,25.91,10.97,50.4,47.92,60.74,37.19,12.95,14.17,12.97,70.56,89.73,64.71,67.19,32.78,53.97,59.04,0.0,60.88,41.64,68.22,78.57,54.94,52.56,49.13,6.22,3.08,42.15,56.52,63.16,24.38,43.56,48.8,49.29,85.22,47.38,24.57,36.52,16.19,13.25,11.1,42.58,42.58,37.02,61.79,50.21,33.74,47.59,71.33,1.79,72.29,62.75,8.67,52.56,29.84,31.71,42.58,56.82,11.2,54.94,78.57,42.2,84.38,21.33,21.35,60.48,89.73,42.15,41.8,48.8,13.25,35.59,37.61,19.37,82.88,35.46,25.63,50.78,47.9,47.4,39.0,49.5,13.5,13.5,50.03,56.52,21.35,52.42,64.39,25.63,52.42,52.56,21.35,36.88,77.19,37.61,6.22,14.45,47.4,11.2,50.21,43.62,71.33,37.2,47.4,12.96,41.64,37.61,39.0,33.98,56.04,56.04,35.46,43.62,11.98,66.33,43.62,56.79,39.0,24.02,28.5
Bar dos Meninos,48.83,32.36,37.61,46.67,40.31,57.74,69.83,70.68,2.14,53.54,62.7,59.51,63.86,32.2,51.37,26.35,28.83,60.11,15.64,20.68,60.88,0.0,49.03,27.76,38.11,79.1,29.58,36.83,66.35,59.02,37.15,3.43,22.71,48.09,57.62,13.9,16.1,44.77,41.79,48.28,20.99,45.91,49.33,63.14,40.92,40.92,49.64,34.91,14.38,64.64,37.73,18.57,65.07,17.98,22.3,63.27,29.58,61.69,30.99,40.92,87.72,63.37,79.1,38.11,38.31,43.92,50.67,50.55,33.6,49.27,37.15,40.14,13.9,49.33,47.22,49.69,48.71,42.42,66.36,40.07,11.6,45.79,38.46,22.09,11.17,50.99,50.99,45.33,3.43,50.55,44.8,23.94,40.07,44.8,29.58,50.55,48.39,36.73,49.69,66.35,79.26,38.46,63.37,14.38,39.15,18.57,48.83,38.46,61.56,49.03,49.69,22.09,65.83,14.85,14.85,66.36,39.15,67.77,18.15,39.15,16.25,22.09,48.38,32.77
Bar Du Du,38.91,18.81,11.06,9.04,59.8,47.82,14.39,13.28,48.48,10.65,50.19,49.59,49.07,51.64,73.48,41.98,50.9,21.28,40.66,50.41,41.64,49.03,0.0,38.79,78.56,18.32,23.89,20.45,37.55,40.58,13.1,49.17,42.51,29.65,9.5,48.79,49.28,50.22,16.18,29.83,49.05,48.23,45.97,44.69,11.21,11.21,4.75,33.11,50.18,21.29,18.91,54.96,46.63,55.92,41.68,34.47,23.89,18.42,52.89,11.21,59.7,44.92,18.32,78.56,11.55,49.37,32.22,35.04,31.8,89.72,13.1,10.42,48.79,45.97,6.17,4.81,30.27,82.87,19.99,57.42,60.26,11.2,12.7,56.13,49.46,45.72,45.72,10.41,49.17,35.04,15.78,43.62,57.42,15.78,23.89,35.04,4.21,77.18,4.81,37.55,50.47,12.7,44.92,50.18,11.79,54.96,3.82,12.7,43.11,0.0,4.81,56.13,10.03,34.16,34.16,19.99,11.79,48.48,49.96,11.79,46.35,56.13,38.66,54.67
Bar e Restaurante Bom Sabor,56.17,18.17,25.14,39.47,60.76,65.08,58.0,58.84,27.22,46.34,70.04,66.85,71.2,19.9,39.53,14.52,16.99,50.27,3.82,8.85,68.22,27.76,38.79,0.0,32.63,35.69,17.39,24.68,57.55,50.23,24.96,17.35,7.61,39.3,30.16,12.08,10.98,35.94,29.59,39.49,24.88,57.89,55.63,54.34,28.73,28.73,37.44,22.71,26.01,55.85,25.54,22.8,56.28,23.77,6.78,54.48,17.39,52.9,40.54,28.73,78.93,54.58,35.69,32.63,26.11,35.1,41.88,41.75,21.4,34.26,24.96,27.95,12.08,55.63,35.03,37.5,39.92,28.58,57.57,49.62,25.68,33.6,26.26,44.91,19.59,55.38,55.38,33.14,17.35,41.75,32.65,8.72,49.62,32.65,17.39,41.75,36.2,31.25,37.5,57.55,70.47,26.26,54.58,26.01,26.95,22.8,36.64,26.26,52.77,36.84,37.5,44.91,40.62,6.67,6.67,57.57,26.95,58.98,17.8,26.95,10.77,44.91,39.59,42.32
Bar e Restaurante do Joãozinho,66.52,40.61,47.58,59.32,71.1,75.43,54.15,54.99,37.56,82.21,80.39,77.2,81.55,31.24,14.87,24.86,17.19,77.8,34.11,19.28,78.57,38.11,78.56,32.63,0.0,51.1,41.25,42.66,82.01,74.69,48.82,41.78,20.08,63.76,73.28,41.17,35.41,23.62,46.42,63.94,49.33,82.34,80.08,78.8,52.59,52.59,61.31,33.04,50.46,80.31,43.98,30.23,80.74,28.3,22.19,78.93,41.25,77.35,64.99,52.59,103.39,79.03,51.1,0.0,49.98,22.77,66.33,66.21,27.71,10.46,48.82,51.81,41.17,80.08,58.89,61.36,64.38,7.76,82.03,74.08,50.12,54.52,44.62,61.19,44.07,79.83,79.83,56.89,41.78,66.21,50.47,23.83,74.08,50.47,41.25,66.21,60.06,5.43,61.36,82.01,94.93,44.62,79.03,50.46,45.39,30.23,60.5,44.62,77.22,60.7,61.36,61.19,81.49,31.1,31.1,82.03,45.39,83.44,24.86,45.39,35.21,61.19,64.05,66.77
Bar Estabelecimento,42.9,16.8,11.78,9.93,63.78,51.8,2.89,6.64,78.55,26.76,56.76,53.57,57.92,72.23,71.64,65.85,58.17,37.54,39.5,60.27,54.94,79.1,18.32,35.69,51.1,0.0,16.37,12.72,51.71,47.66,13.58,72.6,50.9,36.73,11.2,40.75,41.23,36.32,10.71,36.92,38.86,55.32,53.06,51.78,13.64,13.64,23.94,15.48,39.99,38.2,14.03,69.85,53.71,67.92,53.02,48.63,16.37,35.33,50.7,13.64,73.86,52.01,0.0,53.73,12.98,35.47,39.31,42.12,33.18,64.36,13.58,12.86,40.75,53.06,19.48,22.17,37.35,57.51,36.9,59.78,80.94,6.67,11.83,53.94,39.28,52.81,52.81,9.04,72.6,42.12,2.63,54.66,59.78,2.63,16.37,42.12,20.65,52.36,22.17,51.71,64.62,11.83,52.01,39.99,10.92,69.85,20.43,11.83,50.2,16.41,22.17,53.94,26.01,29.99,29.99,36.9,10.92,56.41,64.48,10.92,66.03,53.94,43.02,52.48
Bar Junto Juntinho,40.52,4.13,10.28,15.38,49.49,49.42,16.78,14.84,29.03,31.44,54.39,51.2,55.55,32.19,54.02,22.52,31.45,35.37,21.2,26.23,52.56,29.58,23.89,17.39,41.25,16.37,0.0,7.43,49.85,50.84,12.04,29.02,17.78,38.6,13.37,21.39,22.65,30.39,11.19,40.1,24.53,55.11,56.24,54.95,14.34,14.34,24.52,9.98,25.66,36.35,5.41,34.8,56.89,35.76,16.95,46.77,0.0,33.48,40.19,14.34,79.54,55.19,18.44,37.68,13.19,29.55,42.49,42.37,8.67,44.43,12.04,13.56,21.39,56.24,22.11,24.58,40.53,38.75,35.05,49.28,37.35,15.97,9.39,36.39,24.95,55.99,55.99,15.49,29.02,42.37,15.4,18.89,49.28,15.4,0.0,42.37,23.28,36.3,24.58,49.85,62.77,9.39,55.19,25.66,10.16,34.8,23.72,9.39,53.38,20.45,24.58,36.39,27.7,14.0,14.0,35.05,10.16,59.59,29.8,10.16,26.19,36.39,40.2,41.97
Bar Mania Mineira,37.08,5.79,6.16,10.91,57.96,45.99,13.14,11.2,36.28,28.0,50.95,47.76,52.11,36.48,55.44,29.78,32.86,31.93,28.49,25.89,49.13,36.83,20.45,24.68,42.66,12.72,7.43,0.0,44.18,40.74,6.32,33.71,22.47,29.81,7.78,26.08,27.34,35.08,6.28,29.99,29.22,48.39,46.13,44.85,8.75,8.75,18.85,8.77,30.35,30.68,1.31,39.49,46.79,40.45,21.64,41.1,5.07,27.81,44.65,8.75,66.34,45.08,15.76,42.37,7.47,34.24,32.38,35.19,13.36,49.12,6.32,7.97,26.08,46.13,16.44,18.91,30.43,43.44,29.38,53.74,42.04,10.38,3.8,47.89,29.64,45.88,45.88,9.9,33.71,35.19,12.72,23.58,53.74,12.72,5.07,35.19,17.61,41.0,18.91,44.18,57.1,3.8,45.08,30.35,4.57,39.49,18.05,3.8,43.27,14.86,18.91,47.89,22.03,18.69,18.69,29.38,4.57,49.49,34.49,4.57,30.88,47.89,36.97,46.44
Bar Pompéu,12.3,48.13,41.78,44.9,26.83,13.57,51.77,50.18,65.8,32.62,19.67,16.78,18.55,75.62,94.78,69.77,72.24,28.21,59.03,64.1,6.22,66.35,37.55,57.55,82.01,51.71,49.85,44.18,0.0,5.81,39.1,53.64,60.28,23.1,38.21,45.92,46.41,82.34,43.91,23.28,46.18,17.41,15.15,12.07,36.71,36.71,31.69,56.12,47.31,28.42,41.93,68.45,5.22,69.41,59.87,4.18,46.9,24.52,32.68,36.71,51.49,13.93,49.07,75.69,38.49,81.5,20.04,20.06,54.81,86.85,39.1,35.93,45.92,15.15,30.27,32.28,18.09,80.0,30.13,26.6,57.39,42.03,41.73,37.72,46.59,14.9,14.9,44.69,53.64,20.06,47.07,61.51,26.6,47.07,46.9,20.06,31.55,74.31,32.28,0.0,18.17,41.73,13.93,47.31,42.42,68.45,31.87,41.73,12.29,36.32,32.28,37.72,28.66,53.16,53.16,30.13,42.42,15.7,63.45,42.42,53.91,37.72,22.74,29.47
Bar Stella,9.1,44.69,38.33,41.26,24.49,8.21,48.13,45.65,58.48,37.11,13.81,11.42,14.97,68.3,87.46,62.44,64.92,32.7,51.71,56.78,3.08,59.02,40.58,50.23,74.69,47.66,50.84,40.74,5.81,0.0,37.8,52.17,58.81,20.03,39.2,44.45,44.94,80.87,43.02,20.22,32.17,13.43,10.5,9.8,38.23,38.23,36.94,57.43,45.86,33.66,43.24,66.98,5.01,67.94,58.4,8.59,48.21,29.76,29.19,38.23,56.74,8.45,50.59,74.21,37.85,80.02,16.97,17.0,56.12,85.37,37.8,37.45,44.45,10.5,35.51,37.53,15.02,78.52,35.38,23.11,46.43,43.55,43.05,34.65,45.15,10.75,10.75,45.68,52.17,17.0,48.07,60.04,23.11,48.07,48.21,17.0,36.8,72.83,37.53,5.8,15.32,43.05,8.45,45.86,39.27,66.98,37.12,43.05,10.21,46.61,37.53,34.65,33.9,51.69,51.69,35.38,39.27,12.85,61.98,39.27,52.44,34.65,19.67,25.98
Bar Temático Sta. Teresa,30.11,10.27,3.65,13.78,50.99,39.01,13.99,12.06,36.6,23.64,43.98,40.79,45.14,39.76,61.59,30.09,39.02,27.57,28.77,33.8,42.15,37.15,13.1,24.96,48.82,13.58,12.04,6.32,39.1,37.8,0.0,38.98,32.32,25.59,9.31,29.01,29.49,44.25,6.54,25.78,27.13,44.18,41.92,40.64,5.86,5.86,14.64,22.92,28.26,26.47,7.04,44.77,42.57,45.73,31.49,36.89,11.5,23.6,38.96,5.86,62.12,40.87,14.99,52.22,3.0,43.41,28.17,33.44,21.61,58.97,0.0,5.08,29.01,41.92,12.23,14.69,26.21,51.74,25.16,48.05,38.34,10.54,3.21,42.2,27.54,41.67,41.67,10.08,38.98,33.44,11.95,33.43,48.05,11.95,11.5,33.44,13.39,50.84,14.69,39.97,52.88,3.21,40.87,28.26,3.9,44.77,13.83,3.21,39.06,14.03,14.69,42.2,17.82,23.97,23.97,25.16,3.9,45.27,39.77,3.9,36.16,42.2,31.28,40.74
Barrigudinha Buteco,44.47,35.54,40.79,49.85,37.19,53.38,73.02,73.86,3.96,56.72,58.34,46.18,59.5,24.11,54.55,29.53,32.01,55.75,18.82,23.87,56.52,3.43,49.17,17.35,41.78,72.6,29.02,33.71,53.64,52.17,38.98,0.0,25.95,39.33,37.44,11.55,13.74,48.01,37.06,40.82,17.88,42.79,46.21,55.68,36.07,36.07,43.59,38.15,11.27,57.19,40.98,19.24,57.62,18.65,25.54,55.81,32.83,54.23,27.87,36.07,80.27,55.91,82.34,41.36,41.55,47.16,43.21,37.55,36.84,52.52,40.4,35.29,11.55,46.21,41.17,43.64,41.26,45.67,58.91,36.95,8.48,41.06,33.73,18.97,8.82,47.87,47.87,40.6,0.0,37.55,48.05,27.18,36.95,48.05,32.83,37.55,42.34,39.98,43.64,58.89,71.81,33.73,55.91,11.27,34.42,19.24,42.78,33.73,47.18,42.99,43.64,18.97,58.37,18.09,18.09,58.91,34.42,60.32,18.81,34.42,19.5,18.97,34.9,29.65
Barzim dos amigos,51.12,20.7,27.68,56.49,55.7,60.02,51.32,52.16,22.16,50.06,64.98,61.8,66.14,15.28,32.85,9.46,6.63,62.39,9.57,2.03,63.16,22.71,42.51,7.61,20.08,50.9,17.78,22.47,60.28,58.81,32.32,25.95,0.0,47.41,29.9,24.83,19.07,23.79,27.71,47.6,32.99,66.0,63.74,62.46,45.05,45.05,52.57,23.11,34.12,63.96,25.27,22.69,64.39,20.76,5.85,62.59,21.0,61.01,48.65,45.05,87.04,62.69,34.97,20.73,32.56,22.94,49.99,49.87,19.16,31.89,31.41,44.27,24.83,63.74,50.16,52.63,48.03,25.05,65.68,57.73,33.77,32.5,25.92,44.84,27.73,63.49,63.49,32.02,25.43,49.87,31.93,7.49,57.73,31.93,21.0,49.87,51.33,19.36,52.63,65.67,78.58,25.92,62.69,34.12,26.69,22.69,51.77,25.92,60.88,36.97,52.63,44.84,65.15,14.76,14.76,65.68,26.69,67.09,17.31,26.69,18.86,44.84,47.7,50.43
Bazin Bar,12.34,33.76,27.4,30.33,33.22,21.24,37.2,34.72,47.54,32.19,26.21,23.02,27.37,57.37,76.53,51.51,53.99,27.78,40.78,45.84,24.38,48.09,29.65,39.3,63.76,36.73,38.6,29.81,23.1,20.03,25.59,39.33,47.41,0.0,23.81,29.05,29.54,65.47,27.63,0.47,29.33,25.15,22.89,21.61,22.83,22.83,28.47,42.04,30.47,31.82,27.84,51.58,23.55,52.54,43.0,23.55,32.81,28.87,23.66,22.83,54.9,21.84,35.19,58.82,22.45,64.63,9.14,5.71,40.73,69.98,22.4,22.05,29.05,22.89,26.05,28.52,7.19,63.13,33.54,34.34,40.55,28.15,27.65,26.91,29.75,22.64,22.64,30.28,36.77,5.71,32.67,44.64,34.34,32.67,32.81,5.71,27.22,57.44,28.52,20.69,28.72,27.65,21.84,30.47,23.88,51.58,27.66,27.65,20.03,31.21,28.52,26.91,33.01,36.3,36.3,33.54,23.88,26.25,46.58,23.88,37.05,26.91,10.71,25.45
Beco Restaurante,31.51,11.73,3.98,6.15,52.39,40.42,9.88,9.19,57.07,22.75,45.38,42.19,46.54,44.97,86.05,35.3,38.81,26.68,50.3,55.37,43.56,57.62,9.5,30.16,73.28,11.2,13.37,7.78,38.21,39.2,9.31,37.44,29.9,23.81,0.0,44.53,45.02,43.96,5.93,25.57,33.43,43.97,41.71,40.43,4.92,4.92,11.57,14.68,34.56,26.45,8.77,49.55,42.36,50.51,36.27,36.87,13.23,23.58,48.62,4.92,62.11,40.66,11.99,74.29,4.72,43.12,27.96,30.77,26.39,72.0,7.69,4.14,44.53,41.71,9.16,11.63,26.0,65.15,25.15,53.15,44.64,4.95,5.37,51.86,33.84,41.46,41.46,5.53,43.77,30.77,8.79,38.21,53.15,8.79,13.23,30.77,10.33,72.91,11.63,39.95,52.87,5.37,40.66,34.56,4.46,49.55,10.29,5.37,38.85,8.33,11.63,51.86,16.33,28.75,28.75,25.15,4.46,45.06,44.55,4.46,40.94,51.86,34.39,50.4
Benjamin Bar,36.76,24.94,30.82,49.47,41.34,45.66,41.16,39.22,14.43,52.44,50.62,47.43,51.78,34.78,53.94,28.92,31.4,48.03,13.56,23.26,48.8,13.9,48.79,12.08,41.17,40.75,21.39,26.08,45.92,44.45,29.01,11.55,24.83,29.05,44.53,0.0,2.59,38.54,28.13,34.52,16.27,45.33,50.66,49.38,27.14,27.14,34.66,29.39,13.8,50.88,32.22,24.62,51.31,25.58,16.07,49.51,24.07,47.93,30.4,27.14,73.96,49.61,72.87,31.88,32.79,37.69,36.91,36.79,28.08,43.04,31.64,26.35,0.0,50.66,32.24,34.71,34.95,36.19,52.6,39.49,17.68,32.13,24.8,22.72,9.46,50.41,50.41,31.67,11.53,36.79,39.29,17.71,39.49,39.29,24.07,36.79,33.41,30.5,34.71,52.59,65.5,24.8,49.61,13.8,25.49,24.62,33.85,24.8,47.8,34.06,34.71,22.72,52.07,9.33,9.33,52.6,25.49,54.01,19.62,25.49,10.08,22.72,34.62,32.19
Boteco 86,37.24,30.45,31.3,49.96,41.82,46.15,41.65,39.71,16.63,52.93,51.11,47.92,52.27,29.02,48.18,23.17,25.64,48.52,12.45,17.5,49.29,16.1,49.28,10.98,35.41,41.23,22.65,27.34,46.41,44.94,29.49,13.74,19.07,29.54,45.02,2.59,0.0,37.54,35.27,41.76,17.68,46.73,57.9,56.62,34.41,34.41,43.12,28.4,15.21,58.13,31.22,23.62,58.56,24.58,15.07,56.75,23.07,55.17,31.81,34.41,81.21,56.85,71.87,30.88,31.79,36.69,44.15,44.03,27.08,42.04,30.64,33.63,2.47,57.9,40.71,43.18,42.2,35.2,59.85,40.89,19.09,39.28,31.94,24.12,10.86,57.66,57.66,38.82,16.35,44.03,38.29,16.71,40.89,38.29,23.07,44.03,41.88,29.51,43.18,59.83,72.75,31.94,56.85,15.21,32.63,23.62,42.32,31.94,55.05,42.52,43.18,24.12,59.31,8.33,8.33,59.85,32.63,61.26,18.62,32.63,9.08,24.12,41.87,33.59
Botequim Buritis,73.18,24.76,44.33,41.9,77.76,82.08,36.73,37.58,44.22,61.99,87.04,83.85,88.2,37.9,36.39,31.52,21.99,65.92,40.76,25.94,85.22,44.77,50.22,35.94,23.62,36.32,30.39,35.08,82.34,80.87,44.25,48.01,23.79,65.47,43.96,38.54,37.54,0.0,30.95,65.21,50.61,83.61,81.35,80.07,36.78,36.78,70.19,22.18,51.74,81.58,32.04,40.3,82.01,38.37,23.46,80.21,25.98,78.62,66.26,36.78,104.66,80.3,32.7,24.18,54.14,0.61,67.6,67.48,20.14,34.81,52.99,36.0,42.44,81.35,67.78,70.25,65.65,27.96,83.3,75.35,51.39,36.12,32.48,62.46,45.34,81.11,81.11,38.49,43.05,67.48,32.07,25.11,75.35,32.07,25.98,67.48,68.94,22.8,70.25,83.28,96.2,32.48,80.3,51.74,33.46,40.3,69.38,32.48,78.5,45.85,70.25,62.46,82.76,32.38,32.38,83.3,33.46,84.71,34.93,33.46,36.48,62.46,65.32,68.05
Botequim de Lourdes,35.33,9.55,3.33,8.07,53.27,44.24,11.12,9.18,41.24,28.45,49.2,46.01,50.36,44.4,59.19,34.73,36.62,32.38,33.41,29.64,47.38,41.79,16.18,29.59,46.42,10.71,11.19,6.28,43.91,43.02,6.54,37.06,27.71,27.63,5.93,28.13,35.27,30.95,0.0,30.27,29.62,48.67,46.41,45.13,9.03,9.03,19.13,9.45,30.75,30.96,3.89,45.59,47.07,46.55,24.91,41.39,8.34,28.09,44.94,9.03,66.62,45.36,16.47,45.65,7.76,30.52,32.66,35.48,16.64,52.4,6.6,8.25,26.22,46.41,16.72,19.19,30.71,46.72,29.66,54.02,40.83,10.11,4.08,48.18,30.03,46.17,46.17,9.64,39.81,35.48,13.43,26.86,54.02,13.43,8.34,35.48,17.89,44.27,19.19,44.46,57.38,4.08,45.36,30.75,4.85,45.59,18.33,4.08,43.55,15.14,19.19,48.18,22.31,24.79,24.79,29.66,4.85,49.77,40.59,4.85,36.98,48.18,37.25,46.72
