,Alexandre’s Bar,Amarelim do Prado,Andrade’s Beer,Arcos Bar,Armazém Santa Amélia,Avalanche Espeteria,Azougue Fogo e Bar,Baiuca,Bar Bambú,Bar Bendita Baderna,Bar da Cíntia,Bar da Fia,Bar da Lu,Bar da Silvânia,Bar do Bartolomeu,Bar do Bem,Bar do Kim,Bar do Nelson,Bar do Primo,Bar do Regis,Bar do Romeu,Bar dos Meninos,Bar Du Du,Bar e Restaurante Bom Sabor,Bar e Restaurante do Joãozinho,Bar Estabelecimento,Bar Junto Juntinho,Bar Mania Mineira,Bar Pompéu,Bar Stella,Bar Temático Sta. Teresa,Barrigudinha Buteco,Barzim dos amigos,Bazin Bar,Beco Restaurante,Benjamin Bar,Boteco 86,Botequim Buritis,Botequim de Lourdes,Buteco do Lili,Buteco do Rod,Buteco Tô D’Boa,Buteco’s Bar,Butiquim On Cê Tá?,Café Bahia,Café Palhares,Camisola Bar,Canela Amarela,Cantina Arte Quintal,Cantinho da Baiana,Casa da Madrinha,Cervejaria Pajé,Chapa Mágica,Choperia América Norte Sul,Chopp da Esquina,Companhia do Dino,Conectados Bar,COSMOS,Deck Boi na Brasa,Dona Dora,Dona Ju Gastro Bar,Dona Suica,Ember BBQ,Espetinho do Boi,Espetinhos do Paulão,Espettinho.com,Fogão de Minas,Garagge Vintage,Geraldin da Cida,Golden Grill,Iracema Bar,Ivo Grill,Já To Inno,Juzé Bar,Köbes Emporium Bar,Koqueiros Bar,Lá Ele Bar,Leo da Quadra,Locomotiva’s Bar,Magnífico Quintal,Magrelo’s Bar,Mamute Bar,Marina’s Bar,Mineiros Beer,Mulão,Nosso Spetim,O Fino do Alho,Oratório Bar,Parada 10.95 Bar,Parada do Sabor,Pé de Cana,Pé de Goiaba,Planeta Lúpulo,PoiZé Bar e Petisqueira,Prado Beer,Prosa Boa,Quinteiro Bar e Restaurante,Quioxque Botequim Carioca,Quitandas da Tia Nice Bar,Rancho do Manoel,Recanto Vovó Tela,Regis Bar,Rei do Peixe,Resenha da Naty,Restaurante Jorge Americano,S.O.S PUB,Santa Boemia,Santuário Retrô,Seu Braz,Silvio’s Bar,Sinhá Erozitha Bistrôteco,Sô Bar,Spetim,Tanganica Art Bar,The Butcher,Toca do Ogro,Toninho – Alto Forno,Tropeiro do Lisboa,Us Motoca,Xambar,Xico da Kafua,Xico do Churrasco,Zé Bolacha,Zoo Bar
Bar da Cíntia,5.356,16.031,14.125,15.002,6.467,2.769,17.064,16.321,20.167,13.067,0.0,3.004,0.365,20.446,28.625,17.585,20.751,13.202,19.865,19.925,3.885,18.809,15.057,21.013,24.117,17.029,16.316,15.285,5.902,4.143,13.193,17.502,19.495,7.862,13.614,15.187,15.333,26.113,14.759,7.917,11.503,5.038,3.537,6.605,13.321,13.321,13.67,19.083,15.611,12.686,14.824,21.946,3.731,22.234,19.372,5.393,16.316,11.517,9.513,13.321,19.61,1.489,17.029,24.117,13.207,25.859,6.945,6.951,18.689,27.465,13.193,13.086,15.187,3.537,13.242,13.847,6.358,25.41,13.202,6.464,15.78,14.916,14.766,12.247,15.396,3.611,3.611,15.556,17.502,6.951,16.272,19.865,6.464,16.272,16.316,6.951,13.628,23.703,13.847,5.902,0.954,14.766,1.489,15.611,13.634,21.946,13.724,14.766,4.799,15.057,13.847,12.247,12.759,17.36,17.36,13.202,13.634,0.0,20.446,13.634,17.585,12.247,7.753,8.551
Bar da Fia,4.916,15.591,13.685,14.562,4.382,1.649,16.624,15.881,19.727,16.365,3.004,0.0,3.336,19.489,27.668,16.628,19.794,15.577,18.908,18.968,4.25,17.853,14.878,20.056,23.16,16.072,15.359,14.328,5.035,3.425,12.236,13.853,18.539,6.905,12.657,14.23,14.376,25.156,13.802,6.96,11.297,2.033,0.532,5.767,12.364,12.364,14.054,18.126,11.355,15.061,13.867,20.989,4.506,21.278,18.415,5.894,15.359,14.174,6.508,12.364,21.985,2.709,16.072,23.16,12.25,24.902,5.988,5.994,17.732,26.508,12.236,12.13,14.23,0.532,13.331,14.071,5.401,24.453,15.577,4.266,12.505,13.96,13.809,8.332,14.439,0.606,0.606,14.599,13.853,5.994,15.315,18.908,4.266,15.315,15.359,5.994,13.68,22.746,14.071,5.035,3.355,13.809,2.709,11.355,12.677,20.989,13.813,13.809,1.384,14.878,14.071,8.332,15.416,16.403,16.403,15.577,12.677,3.001,19.489,12.677,16.628,8.332,6.796,5.546
Bar da Lu,5.471,16.147,14.24,15.118,6.802,3.057,17.179,16.436,20.283,13.266,0.365,3.336,0.0,20.794,28.973,17.933,21.099,12.865,20.213,20.273,3.891,19.157,14.72,21.361,24.465,17.377,16.664,15.633,5.565,4.491,13.541,17.85,19.843,8.21,13.962,15.535,15.681,26.461,15.107,8.265,11.851,5.547,4.045,6.954,13.669,13.669,13.333,19.431,15.959,12.349,15.172,22.294,3.582,22.582,19.72,5.056,16.664,11.18,10.021,13.669,19.273,1.837,17.377,24.465,13.555,26.207,7.293,7.299,19.037,27.813,13.541,13.435,15.535,4.045,12.905,13.51,6.706,25.758,12.865,7.78,16.128,15.264,15.114,12.595,15.744,4.12,4.12,15.904,17.85,7.299,16.62,20.213,7.78,16.62,16.664,7.299,13.291,24.051,13.51,5.565,1.472,15.114,1.837,15.959,13.982,22.294,13.387,15.114,5.147,14.72,13.51,12.595,12.422,17.708,17.708,12.865,13.982,0.922,20.794,13.982,17.933,12.595,8.101,9.059
Bar da Silvânia,16.286,10.898,12.473,15.19,19.472,18.958,19.468,19.72,5.28,17.251,20.446,19.489,20.794,0.0,10.696,4.628,4.578,22.691,4.954,5.014,21.169,9.661,15.493,5.971,9.373,21.67,9.657,10.943,22.686,20.489,11.929,7.232,4.585,17.21,13.491,10.433,8.706,11.37,13.319,17.265,12.883,22.785,22.107,21.723,13.061,13.061,15.674,11.256,13.222,22.175,12.103,1.615,22.303,2.052,4.461,21.762,9.657,18.362,17.58,13.061,29.099,21.792,21.67,9.373,12.275,11.116,17.982,17.946,10.862,9.535,11.929,12.826,10.433,22.107,14.951,15.691,17.396,7.831,22.691,20.306,8.551,14.52,12.321,12.693,11.304,22.033,22.033,14.383,7.232,17.946,13.334,4.954,20.306,13.334,9.657,17.946,15.3,8.959,15.691,22.686,26.561,12.321,21.792,13.222,12.527,1.615,15.433,12.321,21.25,15.493,15.691,12.693,16.629,7.539,7.539,22.691,12.527,23.114,0.0,12.527,4.628,12.693,17.297,18.115
Bar do Bartolomeu,24.465,15.367,17.459,22.144,25.839,27.137,20.593,20.845,15.777,29.171,28.625,27.668,28.973,10.696,0.0,14.394,8.64,28.44,10.982,9.375,26.918,15.41,22.043,11.86,4.462,21.492,16.207,16.631,28.435,26.238,18.478,16.365,9.855,22.959,25.816,16.182,14.455,10.918,17.758,23.014,18.632,28.534,27.856,27.472,19.61,19.61,22.224,13.745,18.971,27.924,17.025,11.756,28.053,11.177,10.489,27.512,16.207,27.037,23.329,19.61,34.848,27.541,21.492,4.462,18.825,10.664,23.731,23.695,12.145,1.575,18.478,19.375,16.182,27.856,21.5,22.241,23.145,3.983,28.44,26.055,18.866,22.516,17.218,22.188,17.053,27.782,27.782,23.228,16.365,23.695,21.304,10.982,26.055,21.304,16.207,23.695,21.85,5.521,22.241,28.435,32.31,17.218,27.541,18.971,17.449,11.756,21.982,17.218,26.999,22.043,22.241,22.188,28.279,13.163,13.163,28.44,17.449,28.863,10.144,17.449,14.394,22.188,23.046,23.864
Bar do Bem,13.425,9.816,11.39,14.108,14.799,16.097,19.934,20.186,4.711,18.131,17.585,16.628,17.933,4.628,14.394,0.0,4.093,20.935,3.207,3.267,19.413,7.905,12.593,4.355,7.459,19.755,6.757,8.933,20.93,18.733,9.028,8.86,2.837,15.454,10.591,8.677,6.95,9.455,10.419,15.509,11.127,21.029,20.351,19.967,10.16,10.16,12.774,8.356,11.466,20.419,9.202,4.996,20.548,5.284,2.714,20.006,6.757,15.462,15.824,10.16,27.343,20.036,19.755,7.459,9.375,9.201,16.226,16.19,7.962,10.807,9.028,9.926,8.677,20.351,12.05,12.791,15.64,8.752,20.935,18.55,11.706,11.62,9.42,14.187,9.548,20.277,20.277,11.482,8.86,16.19,11.324,3.207,18.55,11.324,6.757,16.19,12.4,7.045,12.791,20.93,24.805,9.42,20.036,11.466,9.627,4.996,12.532,9.42,19.494,12.593,12.791,14.187,13.728,4.639,4.639,20.935,9.627,21.358,3.496,9.627,0.0,14.187,15.541,16.359
Bar do Kim,16.59,8.817,10.909,18.225,17.964,19.262,16.674,16.927,7.903,21.297,20.751,19.794,21.099,4.578,8.64,4.093,0.0,21.677,2.358,2.613,20.156,8.648,15.271,5.097,5.156,17.452,9.435,9.859,21.673,19.476,11.706,9.603,1.989,16.196,11.642,9.42,7.693,6.597,10.986,16.252,11.869,21.772,21.094,20.71,12.838,12.838,15.452,6.973,12.209,21.162,10.254,5.523,21.29,4.944,1.865,20.749,9.435,20.275,16.567,12.838,28.085,20.779,17.452,5.156,12.053,6.343,16.969,16.933,5.374,8.504,11.706,12.604,9.42,21.094,14.728,15.469,16.382,6.449,21.677,19.292,12.104,18.477,10.447,15.426,10.291,21.02,21.02,12.278,9.603,16.933,17.264,2.358,19.292,17.264,9.435,16.933,15.078,4.742,15.469,21.673,25.548,10.447,20.779,12.209,10.678,5.523,15.21,10.447,20.236,15.271,15.469,15.426,21.517,6.4,6.4,21.677,10.678,22.101,3.91,10.678,7.631,15.426,16.284,17.102
Bar do Nelson,9.557,9.998,8.092,7.555,18.638,15.045,10.405,10.613,19.744,4.364,13.202,15.577,12.865,22.691,28.44,20.935,21.677,0.0,19.088,19.148,9.833,18.032,6.384,15.08,23.34,11.262,10.61,9.579,8.464,9.809,8.272,16.725,18.718,8.333,8.004,14.41,14.556,19.776,9.713,8.388,14.486,14.52,13.842,13.458,7.554,7.554,5.573,13.377,14.825,0.474,9.118,21.169,9.377,21.457,18.595,7.541,10.61,1.254,15.638,7.554,10.771,12.489,11.262,23.34,8.089,19.522,8.708,9.747,12.983,26.688,8.272,7.319,14.41,13.842,5.106,5.04,9.13,24.633,0.0,17.275,17.851,9.149,9.06,16.611,14.611,13.768,13.768,9.946,16.725,9.747,10.655,19.088,17.275,10.655,10.61,9.747,5.631,22.926,5.04,8.464,12.339,9.06,12.489,14.825,9.267,21.169,6.01,9.06,12.984,6.384,5.04,16.611,3.952,13.691,13.691,0.0,9.267,11.744,19.669,9.267,16.808,16.611,10.834,16.173
Bar do Primo,15.704,6.544,8.636,10.167,17.078,18.376,16.522,16.774,7.017,15.35,19.865,18.908,20.213,4.954,10.982,3.207,2.358,19.088,0.0,3.288,16.192,4.691,12.197,1.145,10.233,11.851,6.361,8.548,17.709,15.512,8.632,5.646,2.87,12.233,15.09,4.067,3.736,12.229,10.023,12.288,7.906,17.809,17.13,16.746,9.764,9.764,12.378,7.959,8.245,17.198,8.806,7.284,17.327,7.573,2.621,16.786,6.361,16.311,12.604,9.764,24.122,16.815,11.851,10.233,8.979,11.975,13.006,12.969,7.566,13.581,8.632,9.529,4.067,17.13,11.654,12.394,12.419,11.526,17.714,15.329,8.147,11.224,9.024,13.916,6.32,17.056,17.056,11.086,5.646,12.969,10.939,0.0,15.329,10.939,6.361,12.969,12.004,9.819,12.394,17.709,21.584,9.024,16.815,8.245,9.23,7.284,12.136,9.024,16.273,12.197,12.394,13.916,17.554,2.444,2.444,17.714,9.23,18.137,5.784,9.23,3.675,13.916,12.32,13.138
Bar do Regis,15.764,6.628,8.721,16.466,17.138,18.436,14.915,15.168,7.077,15.434,19.925,18.968,20.273,5.014,9.375,3.267,2.613,19.148,3.288,0.0,17.713,6.205,15.124,2.654,5.784,18.08,7.87,7.766,19.229,17.033,10.141,7.16,0.609,13.753,16.61,6.977,5.249,7.781,8.893,13.809,9.426,19.329,18.651,18.267,13.046,13.046,15.301,7.511,9.766,18.718,8.16,6.335,18.847,5.756,1.284,18.306,7.87,17.832,14.124,13.046,25.642,18.336,18.08,5.784,10.488,7.527,14.526,14.489,6.326,9.132,10.141,12.811,6.977,18.651,14.578,15.318,13.939,7.077,19.234,16.849,9.661,10.327,8.354,12.983,7.847,18.576,18.576,10.184,7.16,14.489,10.157,1.776,16.849,10.157,7.87,14.489,14.928,5.37,15.318,19.229,23.104,8.354,18.336,9.766,8.585,6.335,15.06,8.354,17.793,15.124,15.318,12.983,19.074,3.957,3.957,19.234,8.585,19.657,4.722,8.585,5.188,12.983,13.841,14.658
Bar do Romeu,3.411,14.086,12.18,13.058,7.772,3.29,15.119,14.376,18.223,11.156,3.885,4.25,3.891,21.169,26.918,19.413,20.156,9.833,16.192,17.713,0.0,18.263,12.492,20.466,23.57,16.483,15.769,14.739,1.865,0.924,12.646,16.956,18.949,7.315,13.067,14.641,14.787,25.567,14.213,7.371,10.956,4.856,3.976,3.33,12.775,12.775,11.105,18.536,15.064,10.122,14.277,21.399,0.537,21.688,18.825,2.602,15.769,8.952,9.513,12.775,17.046,3.36,16.483,23.57,12.66,25.313,6.398,6.405,18.143,26.918,12.646,12.54,14.641,3.976,10.677,11.283,5.811,24.863,10.638,7.688,15.234,14.37,14.22,11.701,14.85,4.05,4.05,15.01,16.956,6.405,15.726,19.318,7.688,15.726,15.769,6.405,11.063,23.156,11.283,1.865,4.334,14.22,3.36,15.064,13.087,21.399,11.159,14.22,3.888,12.492,11.283,11.701,10.194,16.813,16.813,10.638,13.087,3.594,19.899,13.087,17.038,11.701,7.206,8.551
Bar dos Meninos,14.649,9.708,11.283,14.0,12.094,17.321,20.95,21.203,0.643,16.061,18.809,17.853,19.157,9.661,15.41,7.905,8.648,18.032,4.691,6.205,18.263,0.0,14.71,8.329,11.433,23.73,8.874,11.05,19.904,17.707,11.145,1.029,6.812,14.427,17.285,4.171,4.829,13.43,12.536,14.483,6.298,13.773,14.799,18.941,12.277,12.277,14.891,10.473,4.315,19.393,11.319,5.571,19.521,5.395,6.689,18.98,8.874,18.506,9.296,12.277,26.317,19.01,23.73,11.433,11.492,13.176,15.2,15.164,10.079,14.781,11.145,12.042,4.171,14.799,14.167,14.908,14.613,12.727,19.909,12.022,3.48,13.737,11.537,6.627,3.351,15.298,15.298,13.599,1.029,15.164,13.441,7.181,12.022,13.441,8.874,15.164,14.517,11.02,14.908,19.904,23.779,11.537,19.01,4.315,11.744,5.571,14.649,11.537,18.467,14.71,14.908,6.627,19.748,4.454,4.454,19.909,11.744,20.332,5.445,11.744,4.875,6.627,14.515,9.831
